1873,1065,1910,1118,386,423

2303,1165,2445,1552,420,544

2,1118,117,1342,480,545

10,1064,106,1240,515,1022

2351,942,2446,1294,566,763

4,1227,175,1649,707,804

2364,1081,2445,1265,1062,1245

2304,1173,2420,1337,1301,1338

2351,1054,2445,1267,1415,1451

1140,1114,1182,1210,1499,1703

1266,1194,1294,1258,1848,2076

2112,1721,2447,2043,1852,1923

1041,1127,1081,1177,1989,2067

2,798,447,1069,2078,2106

2228,1321,2383,1574,2134,2649

2,1023,166,1133,2146,2256

1387,1132,1441,1201,2709,2740

1441,1651,1577,2045,2838,2926

2,1794,165,2038,2947,3062
